senlen,objnum,subnum,treedepth
0.2742857143,0.7894736842,0.55,0.1114285714
0.2342857143,0.7368421053,0.6125,0.1314285714
0.2028571429,0.7631578947,0.5875,0.1228571429
0.2085714286,0.7368421053,0.5625,0.1457142857
0.1971428571,0.6842105263,0.5375,0.1542857143
0.26,0.5789473684,0.5375,0.1142857143
0.2457142857,0.6578947368,0.5,0.1428571429
0.2571428571,0.6842105263,0.625,0.1142857143
0.2628571429,0.6315789474,0.65,0.09714285714
0.2285714286,0.7105263158,0.6,0.1171428571
0.2371428571,0.7105263158,0.6125,0.12
0.2457142857,0.7368421053,0.675,0.1285714286
0.2685714286,0.7105263158,0.65,0.1314285714
0.2142857143,0.7105263158,0.6,0.12
0.24,0.6842105263,0.6,0.12
0.2085714286,0.7105263158,0.575,0.1457142857
0.2142857143,0.7368421053,0.5125,0.14
0.2457142857,0.7631578947,0.55,0.1257142857
0.2342857143,0.7105263158,0.5375,0.12
0.2628571429,0.7368421053,0.575,0.1342857143
0.2428571429,0.6842105263,0.575,0.12
0.2257142857,0.7105263158,0.625,0.1228571429
0.2485714286,0.7105263158,0.625,0.1171428571
0.2342857143,0.7105263158,0.5875,0.1371428571
