senlen,objnum,subnum,treedepth
0.8895800933,0.6724137931,0.7320261438,0.6096423017
0.8802488336,0.6724137931,0.7254901961,0.6127527216
0.8864696734,0.6551724138,0.7254901961,0.6143079316
0.8864696734,0.6379310345,0.7124183007,0.600311042
0.8864696734,0.6379310345,0.7320261438,0.6174183515
0.8864696734,0.6810344828,0.7320261438,0.6111975117
0.8864696734,0.6724137931,0.7124183007,0.6127527216
0.8833592535,0.6810344828,0.7058823529,0.6096423017
0.8569206843,0.5948275862,0.7320261438,0.6034214619
0.8491446345,0.5948275862,0.7320261438,0.5956454121
0.8506998445,0.6206896552,0.6993464052,0.600311042
0.8460342146,0.6120689655,0.7124183007,0.6018662519
0.8475894246,0.6120689655,0.7189542484,0.6034214619
0.8506998445,0.6206896552,0.7320261438,0.6018662519
0.8475894246,0.6120689655,0.7385620915,0.6018662519
0.8460342146,0.5948275862,0.7124183007,0.5956454121
0.8413685848,0.5862068966,0.7450980392,0.6034214619
0.8444790047,0.5775862069,0.7320261438,0.6080870918
0.8491446345,0.5689655172,0.7450980392,0.6065318818
0.8429237947,0.5862068966,0.7320261438,0.600311042
0.833592535,0.6206896552,0.7254901961,0.6111975117
0.8444790047,0.6034482759,0.7385620915,0.6018662519
0.8460342146,0.6293103448,0.7189542484,0.6065318818
0.8413685848,0.6465517241,0.7189542484,0.6158631415
0.832037325,0.6293103448,0.7058823529,0.6127527216
0.8258164852,0.6379310345,0.7189542484,0.6096423017
0.8398133748,0.6120689655,0.6993464052,0.6143079316
0.8429237947,0.6379310345,0.6993464052,0.6158631415
0.8289269051,0.6034482759,0.7058823529,0.6049766719
0.8367029549,0.6034482759,0.7058823529,0.6080870918
0.8382581649,0.6293103448,0.7254901961,0.6018662519
0.8429237947,0.6120689655,0.7189542484,0.5940902022
0.8429237947,0.6120689655,0.7189542484,0.5972006221
0.8429237947,0.5775862069,0.7320261438,0.5972006221
0.8382581649,0.6120689655,0.7124183007,0.5894245723
0.8367029549,0.5862068966,0.7254901961,0.5878693624
0.833592535,0.5862068966,0.7189542484,0.6065318818
0.8351477449,0.6465517241,0.7124183007,0.598755832
0.8413685848,0.6120689655,0.7058823529,0.5972006221
0.8227060653,0.6120689655,0.7058823529,0.6018662519
0.8289269051,0.6206896552,0.7124183007,0.6018662519
0.8351477449,0.5862068966,0.7124183007,0.598755832
0.8382581649,0.5775862069,0.6993464052,0.6034214619
0.8304821151,0.6120689655,0.7058823529,0.598755832
0.7729393468,0.6206896552,0.7320261438,0.5598755832
0.765163297,0.6120689655,0.7058823529,0.5583203733
0.7527216174,0.5948275862,0.7189542484,0.5614307932
0.7620528771,0.6206896552,0.7058823529,0.5645412131
0.7620528771,0.6379310345,0.7124183007,0.566096423
0.7604976672,0.6293103448,0.7124183007,0.5629860031
0.7604976672,0.6379310345,0.7124183007,0.5723172628
0.7604976672,0.6379310345,0.7124183007,0.5738724728
0.765163297,0.6379310345,0.7124183007,0.5583203733
0.766718507,0.6034482759,0.7189542484,0.5583203733
0.7698289269,0.6034482759,0.7124183007,0.5692068429
0.7527216174,0.6293103448,0.7124183007,0.5489891135
0.7480559876,0.6034482759,0.6732026144,0.5396578538
0.7247278383,0.6206896552,0.7320261438,0.5381026439
0.7247278383,0.6206896552,0.7320261438,0.5396578538
0.7449455677,0.6293103448,0.7320261438,0.5396578538
0.7449455677,0.6293103448,0.7320261438,0.5412130638
0.7449455677,0.6120689655,0.6666666667,0.5412130638
0.7433903577,0.6120689655,0.6666666667,0.5396578538
0.7231726283,0.6120689655,0.6666666667,0.5287713841
0.7433903577,0.6120689655,0.6535947712,0.5365474339
0.7402799378,0.6120689655,0.7189542484,0.5396578538
0.7402799378,0.6034482759,0.7189542484,0.531881804
0.7433903577,0.6034482759,0.6666666667,0.533437014
0.6982892691,0.6120689655,0.7385620915,0.5629860031
0.6951788491,0.6293103448,0.7581699346,0.5629860031
0.6967340591,0.6206896552,0.7320261438,0.5645412131
0.6609642302,0.6206896552,0.7581699346,0.5614307932
0.6625194401,0.6206896552,0.7320261438,0.5645412131
0.6874027994,0.6206896552,0.7581699346,0.5629860031
0.6905132193,0.6206896552,0.7581699346,0.5629860031
0.6951788491,0.6206896552,0.7581699346,0.5645412131
0.6889580093,0.6206896552,0.7581699346,0.5614307932
0.6874027994,0.6206896552,0.7647058824,0.5614307932
0.6905132193,0.6206896552,0.7647058824,0.5536547434
0.6936236392,0.6293103448,0.7647058824,0.5520995334
0.8289269051,0.6206896552,0.7320261438,0.5940902022
0.8258164852,0.6120689655,0.7385620915,0.5847589425
0.8289269051,0.5948275862,0.7450980392,0.5940902022
0.8180404355,0.6206896552,0.7124183007,0.6096423017
0.8258164852,0.6206896552,0.6993464052,0.600311042
0.8164852255,0.5948275862,0.7058823529,0.598755832
0.8258164852,0.6206896552,0.6797385621,0.600311042
0.8273716952,0.6379310345,0.7058823529,0.600311042
0.832037325,0.6379310345,0.6797385621,0.5909797823
0.8289269051,0.6034482759,0.7058823529,0.5878693624
0.8304821151,0.5948275862,0.6862745098,0.5847589425
0.833592535,0.5948275862,0.660130719,0.600311042
0.9424572317,0.7586206897,0.7647058824,0.5552099533
0.9300155521,0.75,0.7450980392,0.5598755832
0.9191290824,0.775862069,0.7712418301,0.5520995334
0.9144634526,0.7844827586,0.7908496732,0.5536547434
0.9113530327,0.8017241379,0.8039215686,0.5505443235
0.9082426128,0.75,0.7973856209,0.5707620529
0.900466563,0.75,0.8039215686,0.567651633
0.9020217729,0.7931034483,0.8366013072,0.5816485226
0.8958009331,0.7672413793,0.8562091503,0.5567651633
0.8864696734,0.724137931,0.7973856209,0.5567651633
0.8973561431,0.7672413793,0.8235294118,0.5707620529
0.8475894246,0.7413793103,0.8104575163,0.5909797823
0.701399689,0.6551724138,0.7254901961,0.4976671851
0.6951788491,0.7155172414,0.7254901961,0.5069984448
0.6905132193,0.6810344828,0.7385620915,0.5256609642
0.7200622084,0.7068965517,0.7777777778,0.5132192846
0.6967340591,0.6896551724,0.7320261438,0.5303265941
0.6827371695,0.6810344828,0.7385620915,0.5287713841
0.66718507,0.6810344828,0.7320261438,0.5241057543
0.6796267496,0.6982758621,0.7516339869,0.5256609642
0.6718506998,0.6465517241,0.7254901961,0.5303265941
0.6718506998,0.6551724138,0.7254901961,0.5303265941
0.6811819596,0.6206896552,0.7320261438,0.5365474339
0.6640746501,0.6293103448,0.7124183007,0.5303265941
0.7231726283,0.5948275862,0.7973856209,0.5303265941
0.7309486781,0.6724137931,0.7712418301,0.5381026439
0.7216174184,0.6982758621,0.8039215686,0.5598755832
0.6951788491,0.724137931,0.7973856209,0.5396578538
0.7153965785,0.7068965517,0.7973856209,0.5567651633
0.7107309487,0.6637931034,0.7973856209,0.5707620529
0.7091757387,0.6982758621,0.7843137255,0.5847589425
0.6967340591,0.6379310345,0.7647058824,0.5552099533
0.6905132193,0.6293103448,0.7581699346,0.5520995334
0.7045101089,0.6810344828,0.7908496732,0.5489891135
0.6967340591,0.5948275862,0.7908496732,0.567651633
0.6967340591,0.6293103448,0.7843137255,0.5723172628
0.8273716952,0.8189655172,0.7712418301,0.531881804
0.8195956454,0.8448275862,0.7581699346,0.5132192846
0.8180404355,0.8362068966,0.7843137255,0.5069984448
0.8242612753,0.8103448276,0.8039215686,0.5443234837
0.7978227061,0.7672413793,0.8169934641,0.5474339036
0.8164852255,0.7931034483,0.8366013072,0.531881804
0.832037325,0.8275862069,0.8300653595,0.5520995334
0.8040435459,0.8534482759,0.862745098,0.5629860031
0.7931570762,0.8706896552,0.8692810458,0.533437014
0.7931570762,0.8793103448,0.862745098,0.531881804
0.8180404355,0.8534482759,0.8496732026,0.5520995334
0.8133748056,0.8706896552,0.8692810458,0.5272161742
0.9393468118,0.8620689655,0.8169934641,0.5832037325
0.9191290824,0.8362068966,0.8300653595,0.6080870918
0.9237947123,0.8017241379,0.8431372549,0.6049766719
0.9269051322,0.8362068966,0.862745098,0.6065318818
0.9191290824,0.8793103448,0.8692810458,0.600311042
0.934681182,0.8534482759,0.862745098,0.5956454121
0.9144634526,0.8620689655,0.8496732026,0.6080870918
0.9362363919,0.8879310345,0.8758169935,0.6158631415
0.9269051322,0.8534482759,0.8758169935,0.5956454121
0.9300155521,0.8793103448,0.8758169935,0.6065318818
0.9066874028,0.8620689655,0.8692810458,0.6096423017
0.898911353,0.8448275862,0.8758169935,0.5956454121
0.9517884914,0.8793103448,0.8104575163,0.5816485226
0.9455676516,0.8793103448,0.8039215686,0.5769828927
0.9548989114,0.8706896552,0.862745098,0.5645412131
0.9440124417,0.8362068966,0.8823529412,0.5707620529
0.9486780715,0.8362068966,0.8758169935,0.5878693624
0.9580093313,0.8275862069,0.8758169935,0.6049766719
0.9409020218,0.8620689655,0.8692810458,0.6298600311
0.9362363919,0.8879310345,0.8758169935,0.6158631415
0.933125972,0.8448275862,0.862745098,0.6267496112
0.9409020218,0.8620689655,0.8562091503,0.600311042
0.9206842924,0.8362068966,0.8758169935,0.6143079316
0.9051321928,0.8362068966,0.862745098,0.6205287714
0.9517884914,0.8534482759,0.7777777778,0.5847589425
0.9455676516,0.8534482759,0.7712418301,0.5816485226
0.9393468118,0.8706896552,0.7908496732,0.5645412131
0.9424572317,0.8534482759,0.8366013072,0.6158631415
0.9377916019,0.8275862069,0.862745098,0.6034214619
0.9486780715,0.8017241379,0.8496732026,0.5956454121
0.9362363919,0.8189655172,0.8431372549,0.600311042
0.9237947123,0.8362068966,0.862745098,0.6127527216
0.9082426128,0.8362068966,0.8823529412,0.5956454121
