senlen,objnum,subnum,treedepth
0.3044328553,0.7906976744,0.75,0.2092568449
0.3102998696,0.7906976744,0.7532051282,0.20273794
0.3109517601,0.7906976744,0.7532051282,0.2059973924
0.3102998696,0.7984496124,0.7532051282,0.2014341591
0.3102998696,0.7906976744,0.7467948718,0.204041721
0.3044328553,0.7364341085,0.75,0.204041721
0.3031290743,0.7131782946,0.7467948718,0.2059973924
0.3096479791,0.7674418605,0.733974359,0.2046936115
0.3005215124,0.7441860465,0.7371794872,0.2144719687
0.2992177314,0.7364341085,0.7435897436,0.2105606258
0.2979139505,0.7441860465,0.733974359,0.2066492829
0.2926988266,0.7209302326,0.733974359,0.2092568449
0.2992177314,0.7209302326,0.733974359,0.2086049544
0.2861799218,0.7364341085,0.7179487179,0.205345502
0.277053455,0.7286821705,0.7275641026,0.2001303781
0.2887874837,0.7441860465,0.7243589744,0.1923076923
0.2868318123,0.7286821705,0.7467948718,0.1988265971
0.2672750978,0.6899224806,0.5993589744,0.1610169492
0.2601043025,0.6899224806,0.6185897436,0.166232073
0.2542372881,0.6666666667,0.6506410256,0.1525423729
0.2737940026,0.6976744186,0.6858974359,0.1505867014
0.2737940026,0.6511627907,0.5993589744,0.1479791395
0.2796610169,0.7209302326,0.6153846154,0.1479791395
0.2816166884,0.7209302326,0.6474358974,0.1577574967
0.2659713168,0.6744186047,0.6506410256,0.1792698827
0.2868318123,0.5426356589,0.6442307692,0.1779661017
0.2764015645,0.5968992248,0.5993589744,0.1727509778
0.2842242503,0.6046511628,0.6378205128,0.164928292
0.2881355932,0.6511627907,0.6506410256,0.1773142112
0.2542372881,0.5658914729,0.6346153846,0.1597131682
0.259452412,0.6434108527,0.5833333333,0.1629726206
0.2614080834,0.6434108527,0.5608974359,0.1642764016
0.2633637549,0.6046511628,0.6153846154,0.1688396349
0.2672750978,0.5813953488,0.5769230769,0.167535854
0.2640156454,0.6511627907,0.5993589744,0.1773142112
0.2737940026,0.6511627907,0.5705128205,0.1779661017
0.2633637549,0.5891472868,0.5833333333,0.1734028683
0.2614080834,0.6666666667,0.6442307692,0.1740547588
0.2711864407,0.6976744186,0.6314102564,0.1694915254
0.2796610169,0.6666666667,0.6025641026,0.1694915254
0.2692307692,0.7364341085,0.5929487179,0.1766623207
0.2744458931,0.5891472868,0.6442307692,0.1720990874
0.2666232073,0.6434108527,0.6153846154,0.1616688396
0.2672750978,0.5813953488,0.5737179487,0.1629726206
0.2698826597,0.6124031008,0.5897435897,0.1734028683
0.2640156454,0.5891472868,0.6474358974,0.1747066493
0.2633637549,0.6434108527,0.5769230769,0.1955671447
0.2842242503,0.6589147287,0.6025641026,0.1981747066
0.2601043025,0.6124031008,0.6217948718,0.1844850065
0.260756193,0.6821705426,0.625,0.183833116
0.2627118644,0.6666666667,0.6282051282,0.1701434159
0.2816166884,0.6744186047,0.6185897436,0.1747066493
0.2855280313,0.6511627907,0.608974359,0.1903520209
0.2561929596,0.6201550388,0.625,0.1720990874
0.2614080834,0.6666666667,0.6217948718,0.1694915254
0.2620599739,0.6976744186,0.6025641026,0.1597131682
0.2640156454,0.6511627907,0.6506410256,0.1597131682
0.2561929596,0.6279069767,0.6346153846,0.164928292
0.2790091265,0.6744186047,0.6442307692,0.1825293351
0.2940026076,0.6279069767,0.6121794872,0.1760104302
0.2718383312,0.6201550388,0.6378205128,0.1942633638
0.2633637549,0.6434108527,0.641025641,0.1681877445
0.2705345502,0.6511627907,0.6314102564,0.1786179922
0.2757496741,0.6744186047,0.6282051282,0.185136897
0.278357236,0.6744186047,0.6217948718,0.183833116
0.2561929596,0.6666666667,0.6057692308,0.1688396349
0.2666232073,0.6589147287,0.6153846154,0.1688396349
0.2731421121,0.7054263566,0.6314102564,0.1740547588
0.2627118644,0.6744186047,0.6474358974,0.1531942634
0.2496740548,0.7209302326,0.6442307692,0.1597131682
0.2640156454,0.6976744186,0.6057692308,0.1681877445
0.2790091265,0.7209302326,0.6153846154,0.1538461538
0.259452412,0.6434108527,0.6314102564,0.1636245111
0.2679269883,0.6356589147,0.641025641,0.1642764016
0.2522816167,0.6666666667,0.6506410256,0.1760104302
0.2861799218,0.6666666667,0.6538461538,0.1786179922
0.2614080834,0.6744186047,0.6474358974,0.1734028683
0.2672750978,0.6124031008,0.5993589744,0.1734028683
0.2653194263,0.6046511628,0.6121794872,0.1740547588
0.2464146023,0.6279069767,0.6217948718,0.1734028683
0.258148631,0.5968992248,0.641025641,0.1584093872
0.2705345502,0.6279069767,0.6474358974,0.1525423729
0.2796610169,0.6821705426,0.6762820513,0.1688396349
0.2835723598,0.6821705426,0.6730769231,0.1590612777
0.260756193,0.6511627907,0.641025641,0.1668839635
0.2542372881,0.6124031008,0.6698717949,0.1734028683
0.2620599739,0.6046511628,0.6538461538,0.1766623207
0.2601043025,0.5891472868,0.6602564103,0.185136897
0.2757496741,0.6279069767,0.6346153846,0.1975228162
